dx_class	ICD10_CD	ICD10_CD_NODOT	ICD10_LDESC	IsSubsequent	IsSequela	Billable	Remission
Anxiety Disorder	F40	F40	Phobic anxiety disorders	0	0	0	0
Anxiety Disorder	F40.0	F400	Agoraphobia	0	0	0	0
Anxiety Disorder	F40.1	F401	Social phobias	0	0	0	0
Anxiety Disorder	F40.2	F402	Specific (isolated) phobias	0	0	0	0
Anxiety Disorder	F40.21	F4021	Animal type phobia	0	0	0	0
Anxiety Disorder	F40.22	F4022	Natural environment type phobia	0	0	0	0
Anxiety Disorder	F40.23	F4032	Blood/injection/injury type phobia	0	0	0	0
Anxiety Disorder	F40.24	F4024	Situational type phobia	0	0	0	0
Anxiety Disorder	F40.29	F4029	Other specified phobia	0	0	0	0
Anxiety Disorder	F41	F41	Other anxiety disorders	0	0	0	0
Anxiety Disorder	F42.2	F422	Mixed obsessional thoughts and acts	0	0	1	0
Anxiety Disorder	F42.3	F423	Hoarding disorder	0	0	1	0
Anxiety Disorder	F42.4	F424	Excoriation (skin-picking) disorder	0	0	1	0
Anxiety Disorder	F42.8	F428	Other obsessive-compulsive disorder	0	0	1	0
Anxiety Disorder	F42.9	F429	Obsessive-compulsive disorder unspecified	0	0	1	0
Anxiety Disorder	F40.00	F4000	Agoraphobia, unspecified	0	0	1	0
Anxiety Disorder	F40.01	F4001	Agoraphobia with panic disorder	0	0	1	0
Anxiety Disorder	F40.02	F4002	Agoraphobia without panic disorder	0	0	1	0
Anxiety Disorder	F40.10	F4010	Social phobia, unspecified	0	0	1	0
Anxiety Disorder	F40.11	F4011	Social phobia, generalized	0	0	1	0
Anxiety Disorder	F40.210	F40210	Arachnophobia	0	0	1	0
Anxiety Disorder	F40.218	F40218	Other animal type phobia	0	0	1	0
Anxiety Disorder	F40.220	F40220	Fear of thunderstorms	0	0	1	0
Anxiety Disorder	F40.228	F40228	Other natural environment type phobia	0	0	1	0
Anxiety Disorder	F40.230	F40230	Fear of blood	0	0	1	0
Anxiety Disorder	F40.231	F40231	Fear of injections and transfusions	0	0	1	0
Anxiety Disorder	F40.232	F40232	Fear of other medical care	0	0	1	0
Anxiety Disorder	F40.233	F40233	Fear of injury	0	0	1	0
Anxiety Disorder	F40.240	F40240	Claustrophobia	0	0	1	0
Anxiety Disorder	F40.241	F40241	Acrophobia	0	0	1	0
Anxiety Disorder	F40.242	F40242	Fear of bridges	0	0	1	0
Anxiety Disorder	F40.243	F40243	Fear of flying	0	0	1	0
Anxiety Disorder	F40.248	F40248	Other situational type phobia	0	0	1	0
Anxiety Disorder	F40.290	F40290	Androphobia	0	0	1	0
Anxiety Disorder	F40.291	F40291	Gynephobia	0	0	1	0
Anxiety Disorder	F40.298	F40298	Other specified phobia	0	0	1	0
Anxiety Disorder	F40.8	F408	Other phobic anxiety disorders	0	0	1	0
Anxiety Disorder	F40.9	F409	Phobic anxiety disorder, unspecified	0	0	1	0
Anxiety Disorder	F41.0	F410	Panic disorder [episodic paroxysmal anxiety] without agoraphobia	0	0	1	0
Anxiety Disorder	F41.1	F411	Generalized anxiety disorder	0	0	1	0
Anxiety Disorder	F41.3	F413	Other mixed anxiety disorders	0	0	1	0
Anxiety Disorder	F41.8	F418	Other specified anxiety disorders	0	0	1	0
Anxiety Disorder	F41.9	F419	Anxiety disorder, unspecified	0	0	1	0
Anxiety Disorder	F42	F42	Obsessive-compulsive disorder	0	0	1	0
Anxiety Disorder	F43.10	F4310	Post-traumatic stress disorder, unspecified	0	0	1	0
Anxiety Disorder	F43.11	F4311	Post-traumatic stress disorder, acute	0	0	1	0
Anxiety Disorder	F43.12	F4312	Post-traumatic stress disorder, chronic	0	0	1	0
Anxiety Disorder	F43.22	F4322	Adjustment disorder with anxiety	0	0	1	0
Anxiety Disorder	F93.0	F930	Separation anxiety disorder of childhood	0	0	1	0
Attention Deficit Disorder	F90	F90	Attention-deficit hyperactivity disorders	0	0	0	0
Attention Deficit Disorder	F90.0	F900	Attention-deficit hyperactivity disorder, predominantly inattentive ty	0	0	1	0
Attention Deficit Disorder	F90.1	F901	Attention-deficit hyperactivity disorder, predominantly hyperactive ty	0	0	1	0
Attention Deficit Disorder	F90.2	F902	Attention-deficit hyperactivity disorder, combined type	0	0	1	0
Attention Deficit Disorder	F90.8	F908	Attention-deficit hyperactivity disorder, other type	0	0	1	0
Attention Deficit Disorder	F90.9	F909	Attention-deficit hyperactivity disorder, unspecified type	0	0	1	0
Autism Spectrum Disorder	F84.0	F840	Autistic disorder	0	0	1	0
Autism Spectrum Disorder	F84.5	F845	Asperger's syndrome	0	0	1	0
Autism Spectrum Disorder	F84.8	F848	Other pervasive developmental disorders	0	0	1	0
Autism Spectrum Disorder	F84.9	F849	Pervasive developmental disorder, unspecified	0	0	1	0
Bipolar Spectrum Disorder	F30	F30	Manic episode	0	0	0	0
Bipolar Spectrum Disorder	F30.10	F3010	Manic episode without psychotic symptoms, unspecified	0	0	1	0
Bipolar Spectrum Disorder	F30.11	F3011	Manic episode without psychotic symptoms, mild	0	0	1	0
Bipolar Spectrum Disorder	F30.12	F3012	Manic episode without psychotic symptoms, moderate	0	0	1	0
Bipolar Spectrum Disorder	F30.13	F3013	Manic episode, severe, without psychotic symptoms	0	0	1	0
Bipolar Spectrum Disorder	F30.2	F302	Manic episode, severe with psychotic symptoms	0	0	1	0
Bipolar Spectrum Disorder	F30.3	F303	Manic episode in partial remission	0	0	1	0
Bipolar Spectrum Disorder	F30.4	F304	Manic episode in full remission	0	0	1	0
Bipolar Spectrum Disorder	F30.8	F308	Other manic episodes	0	0	1	0
Bipolar Spectrum Disorder	F30.9	F309	Manic episode, unspecified	0	0	1	0
Bipolar Spectrum Disorder	F31	F31	Bipolar disorder	0	0	0	0
Bipolar Spectrum Disorder	F31.0	F310	Bipolar disorder, current episode hypomanic	0	0	1	0
Bipolar Spectrum Disorder	F31.1	F311	Bipolar disorder	0	0	0	0
Bipolar Spectrum Disorder	F31.10	F3110	Bipolar disorder, current episode manic without psychotic features, un	0	0	1	0
Bipolar Spectrum Disorder	F31.11	F3111	Bipolar disorder, current episode manic without psychotic features, mi	0	0	1	0
Bipolar Spectrum Disorder	F31.12	F3112	Bipolar disorder, current episode manic without psychotic features, mo	0	0	1	0
Bipolar Spectrum Disorder	F31.13	F3113	Bipolar disorder, current episode manic without psychotic features, se	0	0	1	0
Bipolar Spectrum Disorder	F31.2	F312	Bipolar disorder, current episode manic severe with psychotic features	0	0	1	0
Bipolar Spectrum Disorder	F31.3	F313	Bipolar disorder, current episode depressed, mild or moderate severity	0	0	1	0
Bipolar Spectrum Disorder	F31.30	F3130	Bipolar disorder, current episode depressed, mild or moderate severity	0	0	1	0
Bipolar Spectrum Disorder	F31.31	F3131	Bipolar disorder, current episode depressed, mild	0	0	1	0
Bipolar Spectrum Disorder	F31.32	F3132	Bipolar disorder, current episode depressed, moderate	0	0	1	0
Bipolar Spectrum Disorder	F31.4	F314	Bipolar disorder, current episode depressed, severe, without psychotic	0	0	1	0
Bipolar Spectrum Disorder	F31.5	F315	Bipolar disorder, current episode depressed, severe, with psychotic fe	0	0	1	0
Bipolar Spectrum Disorder	F31.6	F316	Bipolar disorder	0	0	0	0
Bipolar Spectrum Disorder	F31.60	F3160	Bipolar disorder, current episode mixed, unspecified	0	0	1	0
Bipolar Spectrum Disorder	F31.61	F3161	Bipolar disorder, current episode mixed, mild	0	0	1	0
Bipolar Spectrum Disorder	F31.62	F3162	Bipolar disorder, current episode mixed, moderate	0	0	1	0
Bipolar Spectrum Disorder	F31.63	F3163	Bipolar disorder, current episode mixed, severe, without psychotic fea	0	0	1	0
Bipolar Spectrum Disorder	F31.64	F3164	Bipolar disorder, current episode mixed, severe, with psychotic featur	0	0	1	0
Bipolar Spectrum Disorder	F31.7	F317	Bipolar disorder	0	0	0	0
Bipolar Spectrum Disorder	F31.70	F3170	Bipolar disorder, currently in remission, most recent episode unspecif	0	0	1	0
Bipolar Spectrum Disorder	F31.71	F3171	Bipolar disorder, in partial remission, most recent episode hypomanic	0	0	1	0
Bipolar Spectrum Disorder	F31.72	F3172	Bipolar disorder, in full remission, most recent episode hypomanic	0	0	1	0
Bipolar Spectrum Disorder	F31.73	F3173	Bipolar disorder, in partial remission, most recent episode manic	0	0	1	0
Bipolar Spectrum Disorder	F31.74	F3174	Bipolar disorder, in full remission, most recent episode manic	0	0	1	0
Bipolar Spectrum Disorder	F31.75	F3175	Bipolar disorder, in partial remission, most recent episode depressed	0	0	1	0
Bipolar Spectrum Disorder	F31.76	F3176	Bipolar disorder, in full remission, most recent episode depressed	0	0	1	0
Bipolar Spectrum Disorder	F31.77	F3177	Bipolar disorder, in partial remission, most recent episode mixed	0	0	1	0
Bipolar Spectrum Disorder	F31.78	F3178	Bipolar disorder, in full remission, most recent episode mixed	0	0	1	0
Bipolar Spectrum Disorder	F31.8	F318	Other bipolar disorders	0	0	0	0
Bipolar Spectrum Disorder	F31.81	F3181	Bipolar II disorder	0	0	1	0
Bipolar Spectrum Disorder	F31.89	F3189	Other bipolar disorder	0	0	1	0
Bipolar Spectrum Disorder	F31.9	F319	Bipolar disorder, unspecified	0	0	1	0
Bipolar Spectrum Disorder	F34.0	F340	Cyclothymic disorder	0	0	1	0
Conduct/Disruptive Disorder	F91	F91	Conduct disorders	0	0	0	0
Conduct/Disruptive Disorder	F91.0	F910	Conduct disorder confined to family context	0	0	1	0
Conduct/Disruptive Disorder	F91.1	F911	Conduct disorder, childhood-onset type	0	0	1	0
Conduct/Disruptive Disorder	F91.2	F912	Conduct disorder, adolescent-onset type	0	0	1	0
Conduct/Disruptive Disorder	F91.3	F913	Oppositional defiant disorder	0	0	1	0
Conduct/Disruptive Disorder	F91.8	F918	Other conduct disorders	0	0	1	0
Conduct/Disruptive Disorder	F91.9	F919	Conduct disorder, unspecified	0	0	1	0
Dementia	F01	F01	Vascular dementia	0	0	0	0
Dementia	F01.5	F015	Vascular dementia	0	0	0	0
Dementia	F01.50	F0150	Vascular dementia without behavioral disturbance	0	0	1	0
Dementia	F01.51	F0151	Vascular dementia with behavioral disturbance	0	0	1	0
Dementia	F02	F02	Dementia in other diseases classified elsewhere	0	0	0	0
Dementia	F02.8	F028	Dementia in other diseases classified elsewhere	0	0	0	0
Dementia	F02.80	F0280	Dementia in other diseases classified elsewhere without behavioral dis	0	0	1	0
Dementia	F02.81	F0281	Dementia in other diseases classified elsewhere with behavioral distur	0	0	1	0
Dementia	F03	F03	Unspecified dementia	0	0	1	0
Dementia	F03.9	F039	Unspecified dementia	0	0	1	0
Dementia	F03.90	F0390	Unspecified dementia without behavioral disturbance	0	0	1	0
Dementia	F03.91	F0391	Unspecified dementia with behavioral disturbance	0	0	1	0
Dementia	F04	F04	Amnestic disorder due to known physiological condition	0	0	1	0
Dementia	F06.0	F060	Psychotic disorder with hallucinations due to known physiological cond	0	0	1	0
Dementia	F06.8	F068	Other specified mental disorders due to known physiological condition	0	0	1	0
Dementia	F07	F07	Personality change due to known physiological condition	0	0	0	0
Dementia	F07.0	F070	Personality change due to known physiological condition	0	0	1	0
Dementia	F07.8	F078	Other personality and behavioral disorders due to known physiological	0	0	0	0
Dementia	F07.81	F0781	Postconcussional syndrome	0	0	1	0
Dementia	F07.89	F0789	Other personality and behavioral disorders due to known physiological	0	0	1	0
Dementia	F07.9	F079	Unspecified personality and behavioral disorder due to known physiolog	0	0	1	0
Dementia	F09	F09	Unspecified mental disorder due to known physiological condition	0	0	1	0
Dementia	F48.2	F482	Pseudobulbar affect	0	0	1	0
Dementia	F05	F05	Delirium due to known physiological condition	0	0	1	0
Depressive Disorder	F32	F32	Major depressive disorder single episode	0	0	0	0
Depressive Disorder	F32.0	F320	Major depressive disorder, single episode, mild	0	0	1	0
Depressive Disorder	F32.1	F321	Major depressive disorder, single episode, moderate	0	0	1	0
Depressive Disorder	F32.2	F322	Major depressive disorder, single episode, severe without psychotic fe	0	0	1	0
Depressive Disorder	F32.3	F323	Major depressive disorder, single episode, severe with psychotic featu	0	0	1	0
Depressive Disorder	F32.4	F324	Major depressive disorder, single episode, in partial remission	0	0	1	0
Depressive Disorder	F32.5	F325	Major depressive disorder, single episode, in full remission	0	0	1	0
Depressive Disorder	F32.8	F328	Other depressive episodes	0	0	1	0
Depressive Disorder	F32.9	F329	Major depressive disorder, single episode, unspecified	0	0	1	0
Depressive Disorder	F33	F33	Major depressive disorder recurrent	0	0	0	0
Depressive Disorder	F33.0	F330	Major depressive disorder, recurrent, mild	0	0	1	0
Depressive Disorder	F33.1	F331	Major depressive disorder, recurrent, moderate	0	0	1	0
Depressive Disorder	F33.2	F332	Major depressive disorder, recurrent severe without psychotic features	0	0	1	0
Depressive Disorder	F33.3	F333	Major depressive disorder, recurrent, severe with psychotic symptoms	0	0	1	0
Depressive Disorder	F33.4	F334	Major depressive disorder recurrent in remission	0	0	0	1
Depressive Disorder	F33.40	F3340	Major depressive disorder, recurrent, in remission, unspecified	0	0	1	0
Depressive Disorder	F33.41	F3341	Major depressive disorder, recurrent, in partial remission	0	0	1	0
Depressive Disorder	F33.42	F3342	Major depressive disorder, recurrent, in full remission	0	0	1	0
Depressive Disorder	F33.8	F338	Other recurrent depressive disorders	0	0	1	0
Depressive Disorder	F33.9	F339	Major depressive disorder, recurrent, unspecified	0	0	1	0
Depressive Disorder	F34.1	F341	Dysthymic disorder	0	0	1	0
Depressive Disorder	F43.21	F4321	Adjustment disorder with depressed mood	0	0	1	0
Depressive Disorder	F43.23	F4323	Adjustment disorder with mixed anxiety and depressed mood	0	0	1	0
Eating Disorder	F50	F50	Eating disorders	0	0	0	0
Eating Disorder	F50.0	F50	Anorexia nervosa	0	0	0	0
Eating Disorder	F50.00	F5000	Anorexia nervosa, unspecified	0	0	1	0
Eating Disorder	F50.01	F5001	Anorexia nervosa, restricting type	0	0	1	0
Eating Disorder	F50.02	F5002	Anorexia nervosa, binge eating/purging type	0	0	1	0
Eating Disorder	F50.2	F502	Bulimia nervosa	0	0	1	0
Eating Disorder	F50.8	F508	Other eating disorders	0	0	1	0
Eating Disorder	F50.81	F5081	Binge eating disorder	0	0	1	0
Eating Disorder	F50.89	F5089	Other specified eating disorder	0	0	1	0
Eating Disorder	F50.9	F509	Eating disorder, unspecified	0	0	1	0
Eating Disorder	F98.29	F9829	Other feeding disorders of infancy and early childhood	0	0	1	0
Eating Disorder	R63.0	R630	Anorexia	0	0	1	0
Eating Disorder	Z72.4	Z724	Inappropriate diet and eating habits	0	0	1	0
Other Psychosis	F21	F21	Schizotypal disorder	0	0	1	0
Other Psychosis	F22	F22	Delusional disorders	0	0	1	0
Other Psychosis	F23	F23	Brief psychotic disorder	0	0	1	0
Other Psychosis	F24	F24	Shared psychotic disorder	0	0	1	0
Other Psychosis	F28	F28	Other psychotic disorder not due to a substance or known physiological	0	0	1	0
Other Psychosis	F29	F29	Unspecified psychosis not due to a substance or known physiological co	0	0	1	0
Personality Disorder	F60	F60	Specific personality disorders	0	0	1	0
Personality Disorder	F60.0	F600	Paranoid personality disorder	0	0	1	0
Personality Disorder	F60.1	F601	Schizoid personality disorder	0	0	1	0
Personality Disorder	F60.2	F602	Antisocial personality disorder	0	0	1	0
Personality Disorder	F60.3	F603	Borderline personality disorder	0	0	1	0
Personality Disorder	F60.4	F604	Histrionic personality disorder	0	0	1	0
Personality Disorder	F60.5	F605	Obsessive-compulsive personality disorder	0	0	1	0
Personality Disorder	F60.6	F606	Avoidant personality disorder	0	0	1	0
Personality Disorder	F60.7	F607	Dependent personality disorder	0	0	1	0
Personality Disorder	F60.8	F608	Other specific personality disorders	0	0	1	0
Personality Disorder	F60.81	F6081	Narcissistic personality disorder	0	0	1	0
Personality Disorder	F60.89	F6089	Other specific personality disorders	0	0	1	0
Personality Disorder	F60.9	F609	Personality disorder, unspecified	0	0	1	0
Schizophrenia Spectrum Disorder	F20	F20	Schizophrenia	0	0	0	0
Schizophrenia Spectrum Disorder	F20.0	F200	Paranoid schizophrenia	0	0	1	0
Schizophrenia Spectrum Disorder	F20.1	F201	Disorganized schizophrenia	0	0	1	0
