dx_class	ICD9_CD_NODOT	ICD9_CD	ICD9_LDESC	Remission
Anxiety Disorder	300	300	Anxiety, dissociative and somatoform disorders	0
Anxiety Disorder	3000	300.0	Anxiety Disorder	0
Anxiety Disorder	30000	300.00	Anxiety state, unspecified	0
Anxiety Disorder	30001	300.01	Panic disorder without agoraphobia	0
Anxiety Disorder	30002	300.02	Generalized anxiety disorder	0
Anxiety Disorder	30004	300.04	Anxiety Disorder	0
Anxiety Disorder	30009	300.09	Other anxiety states	0
Anxiety Disorder	30020	300.20	Phobia, unspecified	0
Anxiety Disorder	30021	300.21	Agoraphobia with panic disorder	0
Anxiety Disorder	30022	300.22	Agoraphobia without mention of panic attacks	0
Anxiety Disorder	30023	300.23	Social phobia	0
Anxiety Disorder	30029	300.29	Other isolated or specific phobias	0
Anxiety Disorder	3003	300.3	Anxiety Disorder	0
Anxiety Disorder	30921	309.21	Separation anxiety disorder	0
Anxiety Disorder	30924	309.24	Adjustment disorder with anxiety	0
Anxiety Disorder	30981	309.81	Posttraumatic stress disorder	0
Attention Deficit Disorder	31400	314.00	Attention deficit disorder without mention of hyperactivity	0
Attention Deficit Disorder	31401	314.01	Attention deficit disorder with hyperactivity	0
Attention Deficit Disorder	3141	314.1	Hyperkinesis with developmental delay	0
Attention Deficit Disorder	3142	314.2	Hyperkinetic conduct disorder	0
Attention Deficit Disorder	3148	314.8	Other specified manifestations of hyperkinetic syndrome	0
Attention Deficit Disorder	3149	314.9	Unspecified hyperkinetic syndrome	0
Autism Spectrum Disorder	2990	299.0	Autism Spectrum Disorder	0
Autism Spectrum Disorder	29900	299.00	Autistic disorder, current or active state	0
Autism Spectrum Disorder	29901	299.01	Autistic disorder, residual state	0
Autism Spectrum Disorder	29980	299.80	Other specified pervasive developmental disorders, current or active state	0
Autism Spectrum Disorder	29981	299.81	Other specified pervasive developmental disorders, residual state	0
Autism Spectrum Disorder	29990	299.90	Unspecified pervasive developmental disorder, current or active state	0
Autism Spectrum Disorder	29991	299.91	Unspecified pervasive developmental disorder, residual state	0
Bipolar Spectrum Disorder	29600	296.00	Bipolar Spectrum Disorder	0
Bipolar Spectrum Disorder	29601	296.01	Bipolar Spectrum Disorder	0
Bipolar Spectrum Disorder	29602	296.02	Bipolar Spectrum Disorder	0
Bipolar Spectrum Disorder	29603	296.03	Bipolar Spectrum Disorder	0
Bipolar Spectrum Disorder	29604	296.04	Bipolar Spectrum Disorder	0
Bipolar Spectrum Disorder	29605	296.05	Bipolar Spectrum Disorder	0
Bipolar Spectrum Disorder	29606	296.06	Bipolar Spectrum Disorder	0
Bipolar Spectrum Disorder	29610	296.10	Manic affective disorder, recurrent episode, unspecified	0
Bipolar Spectrum Disorder	29611	296.11	Manic affective disorder, recurrent episode, mild	0
Bipolar Spectrum Disorder	29612	296.12	Manic affective disorder, recurrent episode, moderate	0
Bipolar Spectrum Disorder	29613	296.13	Manic affective disorder, recurrent episode, severe, without mention of psychotic behavior	0
Bipolar Spectrum Disorder	29614	296.14	Manic affective disorder, recurrent episode, severe, specified as with psychotic behavior	0
Bipolar Spectrum Disorder	29615	296.15	Manic affective disorder, recurrent episode, in partial or unspecified remission	1
Bipolar Spectrum Disorder	29616	296.16	Manic affective disorder, recurrent episode, in full remission	1
Bipolar Spectrum Disorder	29640	296.40	Bipolar I disorder, most recent episode (or current) manic, unspecified	0
Bipolar Spectrum Disorder	29641	296.41	Bipolar I disorder, most recent episode (or current) manic, mild	0
Bipolar Spectrum Disorder	29642	296.42	Bipolar I disorder, most recent episode (or current) manic, moderate	0
Bipolar Spectrum Disorder	29643	296.43	Bipolar I disorder, most recent episode (or current) manic, severe, without mention of psychotic behavior	0
Bipolar Spectrum Disorder	29644	296.44	Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior	0
Bipolar Spectrum Disorder	29645	296.45	Bipolar I disorder, most recent episode (or current) manic, in partial or unspecified remission	1
Bipolar Spectrum Disorder	29646	296.46	Bipolar I disorder, most recent episode (or current) manic, in full remission	1
Bipolar Spectrum Disorder	29650	296.50	Bipolar I disorder, most recent episode (or current) depressed, unspecified	0
Bipolar Spectrum Disorder	29651	296.51	Bipolar I disorder, most recent episode (or current) depressed, mild	0
Bipolar Spectrum Disorder	29652	296.52	Bipolar I disorder, most recent episode (or current) depressed, moderate	0
Bipolar Spectrum Disorder	29653	296.53	Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behav	0
Bipolar Spectrum Disorder	29654	296.54	Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavi	0
Bipolar Spectrum Disorder	29655	296.55	Bipolar I disorder, most recent episode (or current) depressed, in partial or unspecified remission	1
Bipolar Spectrum Disorder	29656	296.56	Bipolar I disorder, most recent episode (or current) depressed, in full remission	1
Bipolar Spectrum Disorder	29660	296.60	Bipolar I disorder, most recent episode (or current) mixed, unspecified	0
Bipolar Spectrum Disorder	29661	296.61	Bipolar I disorder, most recent episode (or current) mixed, mild	0
Bipolar Spectrum Disorder	29662	296.62	Bipolar I disorder, most recent episode (or current) mixed, moderate	0
Bipolar Spectrum Disorder	29663	296.63	Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior	0
Bipolar Spectrum Disorder	29664	296.64	Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior	0
Bipolar Spectrum Disorder	29665	296.65	Bipolar I disorder, most recent episode (or current) mixed, in partial or unspecified remission	1
Bipolar Spectrum Disorder	29666	296.66	Bipolar I disorder, most recent episode (or current) mixed, in full remission	1
Bipolar Spectrum Disorder	2967	296.7	Bipolar I disorder, most recent episode (or current) unspecified	0
Bipolar Spectrum Disorder	29680	296.80	Bipolar disorder, unspecified	0
Bipolar Spectrum Disorder	29681	296.81	Atypical manic disorder	0
Bipolar Spectrum Disorder	29689	296.89	Other bipolar disorders	0
Bipolar Spectrum Disorder	30111	301.11	Chronic hypomanic personality disorder	0
Bipolar Spectrum Disorder	30113	301.13	Cyclothymic disorder 	0
Conduct/Disruptive Disorder	31281	312.81	Conduct disorder, childhood onset type	0
Conduct/Disruptive Disorder	31282	312.82	Conduct disorder, adolescent onset type	0
Conduct/Disruptive Disorder	31289	312.89	Other conduct disorder	0
Conduct/Disruptive Disorder	3129	312.9	Unspecified disturbance of conduct	0
Conduct/Disruptive Disorder	31381	313.81	Oppositional defiant disorder	0
Dementia	2900	290.0	Senile dementia, uncomplicated	0
Dementia	29010	290.10	Presenile dementia, uncomplicated	0
Dementia	29011	290.11	Presenile dementia with delirium	0
Dementia	29012	290.12	Presenile dementia with delusional features	0
Dementia	29013	290.13	Presenile dementia with depressive features	0
Dementia	29020	290.20	Senile dementia with delusional features	0
Dementia	29021	290.21	Senile dementia with depressive features	0
Dementia	2903	290.3	Senile dementia with delirium	0
Dementia	29040	290.40	Vascular dementia, uncomplicated	0
Dementia	29041	290.41	Vascular dementia, with delirium	0
Dementia	29042	290.42	Vascular dementia, with delusions	0
Dementia	29043	290.43	Vascular dementia, with depressed mood	0
Dementia	2908	290.8	Other specified senile psychotic conditions	0
Dementia	2909	290.9	Unspecified senile psychotic condition	0
Dementia	78093	780.93	Memory loss	0
Depressive Disorder	29620	296.20	Major depressive affective disorder, single episode, unspecified	0
Depressive Disorder	29621	296.21	Major depressive affective disorder, single episode, mild	0
Depressive Disorder	29622	296.22	Major depressive affective disorder, single episode, moderate	0
Depressive Disorder	29623	296.23	Major depressive affective disorder, single episode, severe, without mention of psychotic behavior	0
Depressive Disorder	29624	296.24	Major depressive affective disorder, single episode, severe, specified as with psychotic behavior	0
Depressive Disorder	29625	296.25	Major depressive affective disorder, single episode, in partial or unspecified remission	1
Depressive Disorder	29626	296.26	Major depressive affective disorder, single episode, in full remission	1
Depressive Disorder	2963	296.3	Depressive Disorder	0
Depressive Disorder	29630	296.30	Major depressive affective disorder, recurrent episode, unspecified	0
Depressive Disorder	29631	296.31	Major depressive affective disorder, recurrent episode, mild	0
Depressive Disorder	29632	296.32	Major depressive affective disorder, recurrent episode, moderate	0
Depressive Disorder	29633	296.33	Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior	0
Depressive Disorder	29634	296.34	Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior	0
Depressive Disorder	29635	296.35	Major depressive affective disorder, recurrent episode, in partial or unspecified remission	1
Depressive Disorder	29636	296.36	Major depressive affective disorder, recurrent episode, in full remission	1
Depressive Disorder	29682	296.82	Atypical depressive disorder	0
Depressive Disorder	2980	298.0	Depressive type psychosis	0
Depressive Disorder	3004	300.4	Dysthymic disorder	0
Depressive Disorder	30112	301.12	Chronic depressive personality disorder	0
Depressive Disorder	3090	309.0	Adjustment disorder with depressed mood	0
Depressive Disorder	30900	309.00	Depressive Disorder	0
Depressive Disorder	3091	309.1	Prolonged depressive reaction	0
Depressive Disorder	30928	309.28	Adjustment disorder with mixed anxiety and depressed mood	0
Depressive Disorder	311	311	Depressive disorder, not elsewhere classified	0
Depressive Disorder	3110	311.0	Depressive Disorder	0
Depressive Disorder	31100	311.00	Depressive Disorder	0
Eating Disorder	3071	307.1	Anorexia nervosa	0
Eating Disorder	3075	307.5	Eating Disorder	0
Eating Disorder	30750	307.50	Eating disorder, unspecified	0
Eating Disorder	30751	307.51	Bulimia nervosa	0
Eating Disorder	30754	307.54	Psychogenic vomiting	0
Eating Disorder	30759	307.59	Other disorders of eating	0
Eating Disorder	7830	783.0	Anorexia	0
Eating Disorder	V691	V69.1	Inappropriate diet and eating habits	0
Other Psychosis	2971	297.1	Delusional disorder	0
Other Psychosis	2973	297.3	Shared psychotic disorder	0
Other Psychosis	2981	298.1	Excitative type psychosis	0
Other Psychosis	2983	298.3	Acute paranoid reaction	0
Other Psychosis	2984	298.4	Psychogenic paranoid psychosis	0
Other Psychosis	2988	298.8	Other and unspecified reactive psychosis	0
Other Psychosis	2989	298.9	Unspecified psychosis	0
Other Psychosis	30122	301.22	Schizotypal personality disorder	0
Personality Disorder	301	301	Personality disorders	0
Personality Disorder	3010	301.0	Personality Disorder	0
Personality Disorder	3011	301.1	Affective personality disorder, unspecified	0
Personality Disorder	30110	301.10	Personality Disorder	0
Personality Disorder	3012	301.2	Schizoid personality disorder	0
Personality Disorder	30120	301.20	Personality Disorder	0
Personality Disorder	30121	301.21	Introverted personality 	0
Personality Disorder	3013	301.3	Explosive personality disorder	0
Personality Disorder	3014	301.4	Obsessive-compulsive personality disorder	0
Personality Disorder	3015	301.5	Histrionic personality disorder	0
Personality Disorder	30150	301.50	Personality Disorder	0
Personality Disorder	30151	301.51	Chronic factitious illness with physical symptoms	0
Personality Disorder	30159	301.59	Other histrionic personality disorder	0
Personality Disorder	3016	301.6	Dependent personality disorder	0
Personality Disorder	3017	301.7	Antisocial personality disorder	0
Personality Disorder	3018	301.8	Other personality disorders	0
Personality Disorder	30181	301.81	Narcissistic personality disorder	0
Personality Disorder	30182	301.82	Avoidant personality disorder	0
Personality Disorder	30183	301.83	Borderline personality disorder 	0
Personality Disorder	30184	301.84	Passive-aggressive personality	0
Personality Disorder	30189	301.89	Other specific personality disorders	0
Personality Disorder	3019	301.9	Unspecified personality disorder	0
Possibly Self-Inflicted Injury	E9800	E980.0	Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely	0
Possibly Self-Inflicted Injury	E9801	E980.1	Poisoning by barbiturates, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9802	E980.2	Poisoning by other sedatives and hypnotics, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9803	E980.3	Poisoning by tranquilizers and other psychotropic agents, undetermined whether accidentally or purposely i	0
Possibly Self-Inflicted Injury	E9804	E980.4	Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposel	0
Possibly Self-Inflicted Injury	E9805	E980.5	Poisoning by unspecified drug or medicinal substance, undetermined whether accidentally or purposely infli	0
Possibly Self-Inflicted Injury	E9806	E980.6	Poisoning by corrosive and caustic substances, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9807	E980.7	Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant food	0
