Obs,CODE,CATEGORY,DESC,REV,CMS06,CMS07,CMS08,CMS09,CMS10,CMS11,CMS12,CMS13,CMS14,CMS15,CMS16,CMS17,CMS18,CMS19,CMS20,CMS21,CMS22,CMS23,CMS24,CMS25
1,30981,Abuse and neglect,POSTTRAUMATIC STRESS DIS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
2,E9600,Exposure to violence,UNARMED FIGHT OR BRAWL,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
3,E9601,Exposure to violence,RAPE,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
4,E961,Exposure to violence,ASSAULT-CORROSIV/CAUST,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
5,E9620,Exposure to violence,ASSAULT-POIS W MEDIC AGT,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
6,E9621,Exposure to violence,ASSAULT-POIS W SOLID/LIQ,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
7,E9622,Exposure to violence,ASSAULT-POIS W GAS/VAPOR,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
8,E9629,Exposure to violence,ASSAULT-POISONING NOS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
9,E963,Exposure to violence,ASSAULT-HANGING/STRANGUL,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
10,E964,Exposure to violence,ASSAULT-SUBMERSION,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
11,E9650,Exposure to violence,ASSAULT-HANDGUN,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
12,E9651,Exposure to violence,ASSAULT-SHOTGUN,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
13,E9652,Exposure to violence,ASSAULT-HUNTING RIFLE,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
14,E9653,Exposure to violence,ASSAULT-MILITARY WEAPON,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
15,E9654,Exposure to violence,ASSAULT-FIREARM NEC,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
16,E9655,Exposure to violence,ASSAULT-ANTIPERSON BOMB,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
17,E9656,Exposure to violence,ASSAULT-GASOLINE BOMB,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
18,E9657,Exposure to violence,ASSAULT-LETTER BOMB,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
19,E9658,Exposure to violence,ASSAULT-EXPLOSIVE NEC,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
20,E9659,Exposure to violence,ASSAULT-EXPLOSIVE NOS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
21,E966,Exposure to violence,ASSAULT-CUTTING INSTR,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
22,E9670,Exposure to violence,ABUSE BY FTHER/STPFTH/BF,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
23,E9671,Exposure to violence,CHILD ABUSE BY PERS NEC,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
